Id,Category
2,Politics
10,Technology
25,Film
28,Film
29,Politics
33,Film
34,Football
37,Politics
39,Film
40,Politics
44,Film
56,Film
66,Business
75,Film
77,Film
85,Business
89,Business
92,Business
107,Business
112,Business
115,Business
139,Business
140,Business
152,Business
156,Technology
162,Business
167,Business
170,Business
171,Technology
173,Politics
182,Technology
186,Technology
193,Technology
196,Business
210,Business
218,Football
224,Business
227,Business
230,Politics
232,Football
247,Technology
262,Football
273,Football
276,Politics
279,Football
284,Business
286,Football
287,Business
305,Business
316,Business
337,Politics
342,Business
349,Film
357,Film
363,Film
367,Politics
368,Technology
374,Politics
377,Technology
385,Film
395,Film
401,Film
417,Film
422,Film
427,Film
433,Business
438,Politics
469,Politics
470,Politics
473,Politics
481,Film
486,Business
490,Politics
495,Politics
510,Politics
519,Politics
523,Politics
533,Business
536,Politics
538,Politics
545,Business
550,Business
551,Film
557,Business
558,Film
561,Politics
565,Film
575,Business
583,Business
589,Business
592,Business
593,Business
594,Business
598,Politics
599,Business
607,Business
614,Business
626,Film
627,Politics
634,Film
636,Business
639,Business
641,Technology
643,Business
650,Business
655,Business
662,Film
666,Business
667,Business
673,Technology
678,Technology
693,Technology
694,Business
696,Technology
697,Business
699,Business
704,Business
706,Business
707,Film
709,Film
717,Technology
724,Business
728,Business
732,Business
733,Business
741,Business
746,Business
747,Business
749,Business
750,Business
754,Business
756,Business
768,Politics
769,Business
774,Business
775,Business
776,Politics
789,Business
802,Politics
804,Politics
809,Politics
816,Technology
825,Technology
827,Film
830,Politics
837,Technology
838,Politics
839,Politics
849,Politics
854,Film
865,Politics
871,Politics
873,Politics
884,Politics
886,Politics
893,Business
896,Politics
898,Politics
907,Politics
909,Politics
910,Film
911,Politics
914,Politics
916,Politics
922,Business
925,Business
926,Politics
935,Business
936,Business
946,Politics
952,Business
954,Business
959,Business
960,Business
961,Business
964,Business
965,Business
968,Business
971,Politics
972,Business
982,Business
983,Business
985,Business
987,Business
990,Business
994,Business
1010,Politics
1014,Politics
1024,Business
1026,Business
1032,Technology
1047,Politics
1050,Business
1059,Business
1061,Business
1062,Business
1069,Politics
1072,Politics
1074,Business
1081,Politics
1088,Business
1090,Business
1093,Business
1097,Politics
1100,Politics
1102,Business
1105,Business
1142,Technology
1143,Film
1155,Politics
1162,Business
1163,Football
